date,symbol,sentiment,close_price,price_change,previous_day_sentiment
2023-10-14,AAPL,0.75,176.84,30.25928108426637,-0.0833333333333333
2023-11-13,AAPL,0.4222222222222222,546.24,208.88939154037547,0.75
2023-11-21,MSFT,0.238095238095238,248.18,-31.37563943038849,0.0958333333333333
2023-11-24,MSFT,0.1,660.27,166.04480618905632,0.238095238095238
2023-11-27,AAPL,0.2,664.24,21.60222612770944,0.4222222222222222
2023-11-29,AAPL,0.0577398989898989,300.66,-54.73623991328436,0.2
2023-12-04,GOOGL,0.2971428571428572,227.01,-36.00124044994503,0.0
2023-12-09,MSFT,-0.2,585.71,-11.292350099201832,0.1
2023-12-17,MSFT,0.25,745.07,27.2080039610046,-0.2
2023-12-26,GOOGL,0.1111111111111111,873.15,284.63063301176163,0.2971428571428572
2023-12-31,AAPL,0.05,948.72,215.54579924166836,0.0577398989898989
2024-01-06,GOOGL,0.25,217.79,-75.05697760980358,0.1111111111111111
2024-01-07,AAPL,0.3,376.78,-60.285437220676286,0.05
2024-01-20,AAPL,0.1694444444444444,891.95,136.72965656351187,0.3
2024-03-02,GOOGL,0.0356150793650793,149.96,-31.144680655677483,0.25
2024-03-22,GOOGL,-0.0437499999999999,592.27,294.9519871965857,0.0356150793650793
2024-04-03,MSFT,0.0,169.53,-77.24643322103964,0.25
2024-04-16,AAPL,0.2,465.37,-47.82555075957172,0.1694444444444444
2024-04-17,AAPL,0.25,865.66,86.01542858370759,0.2
2024-04-27,GOOGL,-0.0714285714285714,871.2,47.09507488138858,-0.0437499999999999
2024-05-07,AAPL,0.0666666666666666,740.21,-14.4918328212,0.25
2024-05-08,AAPL,0.1833333333333333,905.86,22.3787843990219,0.0666666666666666
2024-05-11,MSFT,-0.1944444444444444,148.19,-12.587742582433792,0.0
2024-05-12,GOOGL,0.1443181818181818,390.98,-55.12167125803489,-0.0714285714285714
2024-05-17,AAPL,0.125,574.57,-36.57187644889939,0.1833333333333333
2024-05-18,MSFT,0.25,490.18,230.77805519940617,-0.1944444444444444
2024-05-25,AAPL,0.05,704.43,22.601249630158197,0.125
2024-06-27,AAPL,-0.6,582.22,-17.348778444983882,0.05
2024-07-19,AAPL,-0.0555555555555555,349.31,-40.003778640376495,-0.6
2024-07-28,AAPL,0.0758928571428571,778.07,122.7448398270877,-0.0555555555555555
2024-08-06,MSFT,-0.0999999999999999,352.02,-28.18556448651516,0.25
2024-08-07,GOOGL,-0.0314664502164502,487.33,37.562806977925824,0.3624999999999999
2024-08-08,GOOGL,-0.1875,206.22,-57.6837050869021,-0.0314664502164502
2024-08-11,MSFT,0.0,565.7,60.70109652860636,-0.0999999999999999
2024-08-12,AAPL,0.1,417.44,-45.93866556154165,0.2880952380952381
2024-08-14,MSFT,0.3083333333333333,475.15,-16.00671734134701,0.0
2024-08-21,AAPL,0.0,207.97,-50.1796665389038,0.1
2024-08-23,MSFT,0.0,192.94,-59.39387561822582,0.3083333333333333
